label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Implementation failed, 0.9096994190452135, 0.5785984848484849, 0.6666666666666666, 0.2727272727272727, 0.077, 0.46, 2.51, 18291
Success, 0.6951250315736297, 0.4365530303030303, 0.6212121212121212, 0.045454545454545456, 0.077, 0.56, 2.83, 13810
Success, 0.7418540035362465, 0.4644570707070707, 0.696969696969697, 0.045454545454545456, 0.077, 0.52, 2.81, 14499
Success, 0.7384440515281637, 0.4866792929292929, 0.2878787878787879, 0.0, 0.077, 0.49, 3.52, 12486
Success, 0.7751957565041677, 0.4366792929292929, 0.696969696969697, 0.045454545454545456, 0.077, 0.5, 2.89, 14457
Success, 0.8461732760798182, 0.5109217171717172, 0.7272727272727273, 0.18181818181818182, 0.077, 0.46, 2.56, 16365
Success, 0.9589542813841879, 0.5503787878787879, 0.7575757575757576, 0.5454545454545454, 0.077, 0.39, 2.79, 16476
Success, 0.8867138166203586, 0.5305555555555556, 0.5, 0.2727272727272727, 0.077, 0.47, 2.71, 16440
Success, 0.7957817630714827, 0.46887626262626264, 0.4090909090909091, 0.18181818181818182, 0.077, 0.5, 2.75, 14012
Timing violation, 0.6443546350088406, 0.3899621212121212, 0.48484848484848486, 0.0, 0.077, 0.55, 2.78, 12589
Implementation failed, 0.898332912351604, 0.4503156565656566, 0.9242424242424242, 0.0, 0.077, 0.53, 2.59, 16412
Success, 0.9249810558221773, 0.6070075757575758, 0.4393939393939394, 0.5454545454545454, 0.077, 0.57, 2.58, 17926
Success, 0.7827734276332408, 0.4428030303030303, 0.696969696969697, 0.045454545454545456, 0.077, 0.46, 2.89, 14714
Implementation failed, 0.7798686537004293, 0.47095959595959597, 0.6212121212121212, 0.19696969696969696, 0.077, 0.44, 2.8, 14412
Success, 0.956680980045466, 0.5490530303030303, 0.8939393939393939, 0.36363636363636365, 0.077, 0.49, 2.47, 17897
Success, 0.8936600151553422, 0.5280934343434344, 0.9242424242424242, 0.36363636363636365, 0.077, 0.43, 2.43, 16895
Implementation failed, 0.8772417277090174, 0.492739898989899, 0.6515151515151515, 0.0, 0.077, 0.56, 2.65, 16918
Success, 0.943798939126042, 0.5239267676767677, 0.8787878787878788, 0.18181818181818182, 0.077, 0.49, 2.55, 17575
Success, 0.8749684263702955, 0.5222853535353535, 0.9090909090909091, 0.045454545454545456, 0.077, 0.56, 2.83, 16786
Success, 0.7971710027784794, 0.4952020202020202, 0.4393939393939394, 0.21212121212121213, 0.077, 0.45, 2.86, 14888
Success, 0.8322808790098509, 0.47619949494949493, 0.7121212121212122, 0.5454545454545454, 0.077, 0.24, 2.74, 14284
Timing violation, 0.8493306390502652, 0.5041666666666667, 0.8181818181818182, 0.36363636363636365, 0.077, 0.47, 2.42, 16435
Success, 0.664561758019702, 0.4235479797979798, 0.3484848484848485, 0.0, 0.077, 0.51, 3.0, 13136
Success, 0.6976509219499873, 0.43099747474747474, 0.5606060606060606, 0.0, 0.077, 0.48, 2.74, 14127
Success, 0.9046476382924981, 0.505239898989899, 0.6363636363636364, 0.45454545454545453, 0.077, 0.38, 2.76, 15857
Success, 0.730487496842637, 0.43914141414141417, 0.5, 0.18181818181818182, 0.077, 0.44, 2.82, 13971
Success, 0.6749179085627683, 0.38952020202020204, 0.5909090909090909, 0.0, 0.077, 0.49, 2.69, 13090
Success, 0.781384187926244, 0.390719696969697, 0.8484848484848485, 0.045454545454545456, 0.077, 0.56, 2.87, 13694
Success, 0.8175044203081586, 0.47556818181818183, 0.7424242424242424, 0.045454545454545456, 0.077, 0.66, 2.83, 15397
Success, 0.7567567567567568, 0.4652777777777778, 0.5606060606060606, 0.0, 0.077, 0.54, 2.62, 15538
Timing violation, 0.955670623894923, 0.5579545454545455, 0.5, 0.5454545454545454, 0.077, 0.45, 2.67, 17066
Success, 0.7605455923212933, 0.44210858585858587, 0.5303030303030303, 0.045454545454545456, 0.077, 0.58, 2.93, 14475
Success, 0.9062894670371305, 0.5050505050505051, 0.803030303030303, 0.7272727272727273, 0.077, 0.25, 2.81, 14848
Success, 0.793382167213943, 0.4856060606060606, 0.5, 0.36363636363636365, 0.077, 0.4, 2.67, 14767
Success, 0.7365496337458954, 0.4625631313131313, 0.3484848484848485, 0.5454545454545454, 0.077, 0.39, 2.57, 13466
Success, 0.7011871684768881, 0.3715277777777778, 0.6363636363636364, 0.0, 0.077, 0.49, 2.96, 12725
Success, 0.8308916393028543, 0.4663510101010101, 0.7424242424242424, 0.045454545454545456, 0.077, 0.49, 2.88, 15602
Success, 0.7567567567567568, 0.4404040404040404, 0.5, 0.18181818181818182, 0.077, 0.38, 2.82, 13871
Success, 0.8985855013892398, 0.46060606060606063, 0.8333333333333334, 0.0, 0.077, 0.55, 2.88, 16330
Success, 0.9432937610507705, 0.5518939393939394, 0.4393939393939394, 0.5454545454545454, 0.077, 0.41, 2.67, 16880
Success, 0.6572366759282647, 0.2345959595959596, 0.9090909090909091, 0.10606060606060606, 0.077, 0.31, 2.37, 9605
Implementation failed, 0.9498610760293004, 0.49292929292929294, 0.7878787878787878, 0.0, 0.077, 0.57, 2.61, 17497
Implementation failed, 0.7918666329881283, 0.4089646464646465, 0.7878787878787878, 0.0, 0.077, 0.5, 2.63, 14560
Success, 0.7097751957565042, 0.3747474747474748, 0.6515151515151515, 0.0, 0.077, 0.41, 2.68, 13068
Success, 0.8456680980045466, 0.4462121212121212, 0.7121212121212122, 0.0, 0.077, 0.49, 2.88, 15509
Success, 0.6797171002778479, 0.43257575757575756, 0.3787878787878788, 0.2727272727272727, 0.077, 0.31, 2.64, 12800
Success, 0.731624147511998, 0.4, 0.5606060606060606, 0.0, 0.077, 0.67, 2.85, 13386
Success, 0.7810053043697903, 0.46856060606060607, 0.4393939393939394, 0.3939393939393939, 0.077, 0.28, 2.67, 14212
Success, 0.771659509977267, 0.4841540404040404, 0.3787878787878788, 0.36363636363636365, 0.077, 0.4, 2.69, 14318
Timing violation, 0.8850719878757262, 0.4970959595959596, 0.7121212121212122, 0.0, 0.077, 0.57, 2.81, 16468
Success, 0.9701944935589796, 0.5438762626262627, 0.7121212121212122, 0.45454545454545453, 0.077, 0.39, 2.78, 16866
Success, 0.9042687547360445, 0.5329545454545455, 0.6212121212121212, 0.5606060606060606, 0.077, 0.36, 2.6, 16431
Success, 0.7648396059611013, 0.46092171717171715, 0.4090909090909091, 0.18181818181818182, 0.077, 0.46, 2.72, 13773
Success, 0.6163172518312705, 0.40700757575757573, 0.3484848484848485, 0.18181818181818182, 0.077, 0.42, 2.8, 11840
Success, 0.7888355645364992, 0.4649621212121212, 0.5, 0.36363636363636365, 0.077, 0.42, 2.65, 14486
Success, 0.6251578681485224, 0.35138888888888886, 0.4090909090909091, 0.0, 0.077, 0.66, 2.91, 11658
Success, 0.8091689820661784, 0.44753787878787876, 0.7878787878787878, 0.0, 0.077, 0.55, 2.67, 14600
Success, 0.8922707754483455, 0.5402146464646465, 0.6818181818181818, 0.36363636363636365, 0.077, 0.4, 2.64, 17102
Timing violation, 0.7981813589290225, 0.5280934343434344, 0.3484848484848485, 0.18181818181818182, 0.077, 0.34, 2.88, 15843
Success, 0.7452639555443293, 0.3551767676767677, 0.7878787878787878, 0.0, 0.077, 0.61, 2.52, 12942
