label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Implementation failed, 0.9262538779731128, 0.5268872802481903, 0.7636363636363637, 0.974025974025974, 0.0924, 0.32, 1.92, 33869
Success, 0.6286840744570837, 0.34465486039296794, 0.6636363636363637, 0.3116883116883117, 0.0924, 0.35, 2.8, 20842
Timing violation, 0.7397233712512926, 0.4459022750775595, 0.35454545454545455, 0.6623376623376623, 0.0924, 0.48, 2.16, 27933
Success, 0.6457471561530507, 0.390932006204757, 0.2636363636363636, 0.7077922077922078, 0.0924, 0.28, 2.35, 21429
Timing violation, 0.8106902792140641, 0.5027468976215098, 0.22727272727272727, 0.8571428571428571, 0.0924, 0.36, 2.11, 31051
Timing violation, 0.8499224405377456, 0.5248190279214064, 0.4090909090909091, 0.6233766233766234, 0.0924, 0.44, 2.3, 33175
Success, 0.6067735263702172, 0.3426512409513961, 0.8090909090909091, 0.01948051948051948, 0.0924, 0.45, 2.57, 22127
Success, 0.7114141675284384, 0.3522492244053775, 0.7454545454545455, 0.0, 0.0924, 0.61, 2.47, 24951
Timing violation, 0.8382238883143743, 0.5197130299896587, 0.4727272727272727, 0.8571428571428571, 0.0924, 0.48, 2.12, 32020
Success, 0.8489529472595657, 0.531767063081696, 0.33636363636363636, 0.8636363636363636, 0.0924, 0.4, 2.47, 29596
Success, 0.8056489141675285, 0.4638379007238883, 0.44545454545454544, 0.6753246753246753, 0.0924, 0.39, 2.5, 27235
Implementation failed, 0.6899560496380558, 0.343523784901758, 0.9727272727272728, 0.0, 0.0924, 0.72, 2.44, 24006
Success, 0.8530894519131335, 0.5446613236814891, 0.7636363636363637, 0.5844155844155844, 0.0924, 0.39, 2.25, 33186
Success, 0.687435367114788, 0.36785806618407446, 0.7545454545454545, 0.3116883116883117, 0.0924, 0.31, 2.69, 22236
Timing violation, 0.7286065149948294, 0.45698681489141674, 0.39090909090909093, 0.6233766233766234, 0.0924, 0.49, 2.2, 28201
Success, 0.985651499482937, 0.5491856256463289, 0.6090909090909091, 0.8636363636363636, 0.0924, 0.24, 2.46, 32726
Success, 0.6202817993795243, 0.34429937952430195, 0.6272727272727273, 0.23376623376623376, 0.0924, 0.46, 2.79, 20890
Success, 0.8165718717683558, 0.5090486039296794, 0.2636363636363636, 0.8636363636363636, 0.0924, 0.38, 2.38, 28266
Timing violation, 0.9394389865563598, 0.5717101861427094, 0.3, 0.6623376623376623, 0.0924, 0.43, 2.32, 36121
Timing violation, 0.8955532574974147, 0.5560367114788004, 0.37272727272727274, 0.6233766233766234, 0.0924, 0.49, 2.27, 34556
Success, 0.7781799379524302, 0.47275723888314375, 0.2636363636363636, 0.8636363636363636, 0.0924, 0.35, 2.37, 26138
Success, 0.8024172699069286, 0.42586608066184073, 0.7545454545454545, 0.19480519480519481, 0.0924, 0.54, 2.7, 27320
Timing violation, 0.8222595656670114, 0.5236879524301965, 0.5272727272727272, 0.8181818181818182, 0.0924, 0.5, 2.16, 32147
Success, 0.7554291623578077, 0.44354317476732164, 0.3, 0.7857142857142857, 0.0924, 0.42, 2.37, 24935
Success, 0.9433169596690796, 0.530635987590486, 0.6090909090909091, 0.7857142857142857, 0.0924, 0.21, 2.4, 31740
Timing violation, 0.9018872802481903, 0.5668304033092038, 0.3090909090909091, 0.6623376623376623, 0.0924, 0.44, 2.29, 35458
Timing violation, 0.9950879007238883, 0.5425284384694933, 0.7363636363636363, 0.8506493506493507, 0.0924, 0.33, 2.38, 32245
Success, 0.9087383660806618, 0.5104058945191313, 0.42727272727272725, 0.7077922077922078, 0.0924, 0.37, 2.43, 30345
Timing violation, 0.9072518097207859, 0.5648267838676319, 0.3, 0.8571428571428571, 0.0924, 0.47, 2.18, 34902
Timing violation, 0.9145553257497415, 0.5877714581178903, 0.22727272727272727, 0.8181818181818182, 0.0924, 0.44, 2.26, 36142
Timing violation, 0.7267967942088935, 0.4564374353671148, 0.24545454545454545, 0.6233766233766234, 0.0924, 0.41, 2.22, 28107
Implementation failed, 0.9943769389865563, 0.5529666494312306, 0.6272727272727273, 0.8831168831168831, 0.0924, 0.39, 2.44, 32391
Success, 0.6551189245087901, 0.39946354705274045, 0.37272727272727274, 0.16233766233766234, 0.0924, 0.42, 2.89, 24514
Implementation failed, 0.9348500517063082, 0.4907574974146846, 0.7909090909090909, 0.474025974025974, 0.0924, 0.52, 2.53, 30608
Success, 0.8216132368148914, 0.4499741468459152, 0.44545454545454544, 0.8311688311688312, 0.0924, 0.38, 2.38, 26611
Timing violation, 0.9579886246122027, 0.5976926059979317, 0.4727272727272727, 0.8571428571428571, 0.0924, 0.47, 2.23, 37188
Timing violation, 0.7970527404343329, 0.5036517580144778, 0.39090909090909093, 0.8571428571428571, 0.0924, 0.39, 2.1, 30792
Success, 0.6597724922440538, 0.38776499482936916, 0.37272727272727274, 0.3181818181818182, 0.0924, 0.48, 2.77, 23325
Success, 0.8178645294725957, 0.5580403309203723, 0.4636363636363636, 0.7792207792207793, 0.0924, 0.4, 2.19, 33078
Success, 0.8212900723888314, 0.546567993795243, 0.5545454545454546, 0.935064935064935, 0.0924, 0.37, 2.09, 32700
Success, 0.7415330920372285, 0.4201783867631851, 0.39090909090909093, 0.8636363636363636, 0.0924, 0.22, 2.41, 23372
Success, 0.6763831437435367, 0.38498578076525336, 0.6090909090909091, 0.3961038961038961, 0.0924, 0.45, 2.47, 22906
Success, 0.6000517063081696, 0.2954692347466391, 0.8818181818181818, 0.0, 0.0924, 0.7, 2.52, 20281
Implementation failed, 0.9635470527404343, 0.5797246639089969, 0.9181818181818182, 0.6428571428571429, 0.0924, 0.39, 2.51, 33653
Success, 0.7146458117890383, 0.4239594105480869, 0.2636363636363636, 0.7077922077922078, 0.0924, 0.32, 2.48, 23828
Implementation failed, 0.6351473629782833, 0.3293691830403309, 0.07272727272727272, 0.935064935064935, 0.0924, 0.39, 1.91, 22395
Timing violation, 0.7489012409513961, 0.4651305584281282, 0.2818181818181818, 0.6233766233766234, 0.0924, 0.44, 2.25, 28718
Success, 0.7983453981385729, 0.4643226473629783, 0.3, 0.8636363636363636, 0.0924, 0.19, 2.44, 25991
Timing violation, 0.7886504653567735, 0.48998190279214066, 0.2636363636363636, 0.6233766233766234, 0.0924, 0.44, 2.26, 30464
Success, 0.7569803516028956, 0.5141222854188211, 0.4636363636363636, 0.7402597402597403, 0.0924, 0.31, 2.17, 30326
Success, 0.9501034126163392, 0.5344170113753878, 0.6272727272727273, 0.8051948051948052, 0.0924, 0.34, 2.37, 31404
Success, 0.7202042399172699, 0.4134242502585315, 0.6090909090909091, 0.44155844155844154, 0.0924, 0.46, 2.48, 24500
Success, 0.7400465356773527, 0.437403050672182, 0.33636363636363636, 0.7077922077922078, 0.0924, 0.22, 2.46, 24579
Success, 0.8640124095139607, 0.45999224405377453, 0.5181818181818182, 0.8311688311688312, 0.0924, 0.39, 2.31, 27255
Implementation failed, 0.90608841778697, 0.578528955532575, 0.37272727272727274, 0.9155844155844156, 0.0924, 0.5, 2.14, 35303
Success, 0.968782316442606, 0.6492373319544984, 0.6090909090909091, 0.7792207792207793, 0.0924, 0.52, 2.21, 38942
Timing violation, 0.8142450879007239, 0.5275982419855222, 0.39090909090909093, 0.8181818181818182, 0.0924, 0.42, 2.16, 31891
Success, 0.7326137538779731, 0.48022233712512924, 0.2636363636363636, 0.6428571428571429, 0.0924, 0.45, 2.14, 28857
Timing violation, 0.8367373319544984, 0.49250258531540847, 0.4090909090909091, 0.6623376623376623, 0.0924, 0.47, 2.21, 31652
Success, 0.7763055842812823, 0.4953464322647363, 0.33636363636363636, 0.7077922077922078, 0.0924, 0.39, 2.51, 27693
Success, 0.8940020682523268, 0.47169079627714583, 0.7909090909090909, 0.5194805194805194, 0.0924, 0.46, 2.48, 28983
Success, 0.719816442605998, 0.35241080661840746, 0.7727272727272727, 0.23376623376623376, 0.0924, 0.53, 2.78, 23356
Timing violation, 0.7592425025853154, 0.4721109100310238, 0.24545454545454545, 0.6233766233766234, 0.0924, 0.36, 2.26, 29167
Success, 0.8625258531540848, 0.44890770423991727, 0.7909090909090909, 0.551948051948052, 0.0924, 0.37, 2.44, 27767
Success, 0.8165718717683558, 0.4931812306101344, 0.2818181818181818, 0.9415584415584416, 0.0924, 0.32, 2.45, 27214
Success, 0.9600568769389866, 0.6207665460186143, 0.37272727272727274, 0.6428571428571429, 0.0924, 0.53, 2.33, 37938
Timing violation, 0.8137926577042399, 0.4824844881075491, 0.2818181818181818, 0.6623376623376623, 0.0924, 0.42, 2.26, 30308
Success, 0.6158221302998966, 0.3773914167528438, 0.33636363636363636, 0.6233766233766234, 0.0924, 0.26, 2.52, 20744
Success, 0.9026628748707343, 0.5012603412616339, 0.6272727272727273, 0.8051948051948052, 0.0924, 0.32, 2.43, 29356
Success, 0.8147621509824199, 0.4888831437435367, 0.39090909090909093, 0.7077922077922078, 0.0924, 0.44, 2.55, 28098
Success, 0.7945966907962771, 0.44929550155118925, 0.4090909090909091, 0.6753246753246753, 0.0924, 0.43, 2.45, 26256
Success, 0.8340227507755946, 0.5578141158221303, 0.5363636363636364, 0.7402597402597403, 0.0924, 0.42, 2.14, 33206
Timing violation, 0.8901887280248191, 0.5596884694932782, 0.4090909090909091, 0.6233766233766234, 0.0924, 0.56, 2.28, 35117
Success, 0.7852895553257497, 0.5437887797311272, 0.3, 0.6428571428571429, 0.0924, 0.44, 2.19, 32033
Implementation failed, 0.765641158221303, 0.44402792140641156, 0.24545454545454545, 0.935064935064935, 0.0924, 0.41, 2.07, 28392
Success, 0.6031540847983454, 0.3372543950361944, 0.7454545454545455, 0.0, 0.0924, 0.55, 2.74, 22685
Timing violation, 0.905959152016546, 0.5870281799379524, 0.39090909090909093, 0.6233766233766234, 0.0924, 0.48, 2.34, 36307
Success, 0.9213417786970011, 0.48355093071354704, 0.7909090909090909, 0.6233766233766234, 0.0924, 0.47, 2.42, 29667
Success, 0.7432781799379524, 0.45537099276111687, 0.2818181818181818, 0.7857142857142857, 0.0924, 0.35, 2.4, 25311
Success, 0.9020165460186143, 0.5246574457083765, 0.4090909090909091, 0.7077922077922078, 0.0924, 0.45, 2.57, 30668
Success, 0.8210315408479835, 0.47262797311271976, 0.39090909090909093, 0.9415584415584416, 0.0924, 0.42, 2.44, 26382
Success, 0.7553645294725957, 0.4456760599793175, 0.2636363636363636, 0.7077922077922078, 0.0924, 0.35, 2.52, 25225
Success, 0.7540718717683558, 0.4307781799379524, 0.8818181818181818, 0.36363636363636365, 0.0924, 0.43, 2.55, 26787
Timing violation, 0.9184979317476732, 0.5736491726990692, 0.3, 0.6233766233766234, 0.0924, 0.52, 2.36, 35887
Success, 0.829756980351603, 0.45081437435367117, 0.4090909090909091, 0.8636363636363636, 0.0924, 0.18, 2.35, 26127
Timing violation, 0.9986427094105481, 0.6394777662874871, 0.5272727272727272, 0.8571428571428571, 0.0924, 0.18, 2.24, 39788
Success, 0.8871509824198552, 0.5662487073422957, 0.6454545454545455, 0.5844155844155844, 0.0924, 0.4, 2.27, 34936
