label, LUT ratio, FF ratio, BRAM ratio, DSP ratio, path delay, Rent, average fanout, total instances
Success, 0.7681216931216931, 0.4859457671957672, 0.7916666666666666, 0.6401515151515151, 0.10779999999999999, 0.4, 2.38, 56527
Success, 0.6220238095238095, 0.4101521164021164, 0.17045454545454544, 0.9583333333333334, 0.10779999999999999, 0.18, 2.33, 42990
Success, 0.6276455026455027, 0.41476521164021163, 0.3068181818181818, 0.9696969696969697, 0.10779999999999999, 0.37, 2.22, 43169
Success, 0.8567460317460317, 0.2732473544973545, 0.10984848484848485, 0.14772727272727273, 0.10779999999999999, 0.42, 5.01, 31128
Success, 0.6043981481481482, 0.39636243386243386, 0.14015151515151514, 0.821969696969697, 0.10779999999999999, 0.11, 2.4, 42422
Success, 0.6094246031746032, 0.36712962962962964, 0.7310606060606061, 0.011363636363636364, 0.10779999999999999, 0.51, 2.7, 44627
Success, 0.7543320105820106, 0.36317791005291006, 0.2159090909090909, 0.821969696969697, 0.10779999999999999, 0.23, 2.62, 42229
Success, 0.7868055555555555, 0.3754298941798942, 0.125, 0.9128787878787878, 0.10779999999999999, 0.19, 2.66, 42792
Success, 0.6033730158730158, 0.40267857142857144, 0.36742424242424243, 0.6401515151515151, 0.10779999999999999, 0.27, 2.4, 44713
Success, 0.7444775132275132, 0.37804232804232807, 0.11742424242424243, 0.821969696969697, 0.10779999999999999, 0.07, 2.68, 42892
Success, 0.7138888888888889, 0.35110780423280424, 0.17803030303030304, 0.821969696969697, 0.10779999999999999, 0.12, 2.65, 39967
Success, 0.855489417989418, 0.2894675925925926, 0.06439393939393939, 0.2159090909090909, 0.10779999999999999, 0.28, 3.8, 34344
Implementation failed, 0.8798611111111111, 0.19252645502645502, 0.045454545454545456, 0.030303030303030304, 0.10779999999999999, 0.3, 10.09, 18527
Success, 0.6108465608465609, 0.3896660052910053, 0.3068181818181818, 0.7878787878787878, 0.10779999999999999, 0.21, 2.29, 41673
Success, 0.6053571428571428, 0.43913690476190476, 0.4734848484848485, 0.9810606060606061, 0.10779999999999999, 0.07, 1.92, 48396
Success, 0.715244708994709, 0.4297123015873016, 0.3371212121212121, 0.7272727272727273, 0.10779999999999999, 0.16, 2.38, 49679
Timing violation, 0.9083994708994709, 0.2790343915343915, 0.06439393939393939, 0.2159090909090909, 0.10779999999999999, 0.28, 4.62, 32701
Success, 0.8985119047619048, 0.26628637566137564, 0.10984848484848485, 0.10227272727272728, 0.10779999999999999, 0.53, 5.23, 31413
Timing violation, 0.7766203703703703, 0.3757936507936508, 0.2765151515151515, 0.821969696969697, 0.10779999999999999, 0.3, 2.62, 43663
Timing violation, 0.9369708994708995, 0.27412367724867726, 0.11742424242424243, 0.17045454545454544, 0.10779999999999999, 0.27, 4.81, 33368
Success, 0.7795304232804233, 0.4904927248677249, 0.5492424242424242, 0.8333333333333334, 0.10779999999999999, 0.28, 2.37, 53573
Success, 0.620271164021164, 0.39112103174603174, 0.32954545454545453, 0.9128787878787878, 0.10779999999999999, 0.23, 2.26, 41390
Success, 0.6866732804232805, 0.4092427248677249, 0.5189393939393939, 0.6856060606060606, 0.10779999999999999, 0.18, 2.39, 46462
Success, 0.6520833333333333, 0.395353835978836, 0.6856060606060606, 0.007575757575757576, 0.10779999999999999, 0.55, 2.67, 49225
Implementation failed, 0.9202050264550264, 0.25206679894179895, 0.10984848484848485, 0.13636363636363635, 0.10779999999999999, 0.31, 4.88, 31905
